Date,Open,High,Low,Close,Volume,Adj Close
1/25/2016,101.519997,101.529999,99.209999,99.440002,51794500,97.275697
1/22/2016,98.629997,101.459999,98.370003,101.419998,65800500,99.212599
1/21/2016,97.059998,97.879997,94.940002,96.300003,52161500,94.20404
1/20/2016,95.099998,98.190002,93.419998,96.790001,72334400,94.683373
1/19/2016,98.410004,98.650002,95.5,96.660004,53087700,94.556205
1/15/2016,96.199997,97.709999,95.360001,97.129997,79010000,95.015969
1/14/2016,97.959999,100.480003,95.739998,99.519997,63170100,97.35395
1/13/2016,100.32,101.190002,97.300003,97.389999,62439600,95.270312
1/12/2016,100.550003,100.690002,98.839996,99.959999,49154200,97.784376
1/11/2016,98.970001,99.059998,97.339996,98.529999,49739400,96.3855
1/8/2016,98.550003,99.110001,96.760002,96.959999,70798000,94.849671
1/7/2016,98.68,100.129997,96.43,96.449997,81094400,94.350769
1/6/2016,100.559998,102.370003,99.870003,100.699997,68457400,98.508268
1/5/2016,105.75,105.849998,102.410004,102.709999,55791000,100.474523
1/4/2016,102.610001,105.370003,102,105.349998,67649400,103.057063
12/31/2015,107.010002,107.029999,104.82,105.260002,40635300,102.969025
12/30/2015,108.580002,108.699997,107.18,107.32,25213800,104.984187
12/29/2015,106.959999,109.43,106.860001,108.739998,30931200,106.373279
12/28/2015,107.589996,107.690002,106.18,106.82,26704200,104.495069
12/24/2015,109,109,107.949997,108.029999,13570400,105.678733
12/23/2015,107.269997,108.849998,107.199997,108.610001,32657400,106.246111
12/22/2015,107.400002,107.720001,106.449997,107.230003,32789400,104.896149
12/21/2015,107.279999,107.370003,105.57,107.330002,47590600,104.993971
12/18/2015,108.910004,109.519997,105.809998,106.029999,96453300,103.722263
12/17/2015,112.019997,112.25,108.980003,108.980003,44772800,106.608061
12/16/2015,111.07,111.989998,108.800003,111.339996,56238500,108.916689
12/15/2015,111.940002,112.800003,110.349998,110.489998,53323100,108.08519
12/14/2015,112.18,112.68,109.790001,112.480003,64318700,110.031884
12/11/2015,115.190002,115.389999,112.849998,113.18,46886200,110.716645
12/10/2015,116.040001,116.940002,115.510002,116.169998,29104200,113.641566
